iter	Passed	Remaining
0	2	2883
1	4	2481
2	6	2287
3	8	2238
4	10	2148
5	12	2127
6	15	2128
7	17	2131
8	19	2113
9	21	2102
10	23	2075
11	25	2065
12	26	2044
13	28	2033
14	30	2027
15	32	2015
16	34	2006
17	36	1997
18	38	1980
19	40	1964
20	42	1960
21	44	1958
22	45	1953
23	48	1955
24	50	1950
25	51	1947
26	53	1941
27	55	1937
28	57	1937
29	59	1937
30	61	1936
31	63	1935
32	65	1932
33	68	1932
34	70	1931
35	72	1929
36	74	1929
37	76	1926
38	78	1924
39	80	1926
40	82	1922
41	84	1917
42	85	1913
43	87	1909
44	89	1907
45	91	1905
46	93	1905
47	96	1908
48	98	1910
49	100	1914
50	102	1914
51	105	1917
52	107	1918
53	109	1913
54	110	1906
55	112	1904
56	115	1902
57	117	1905
58	119	1913
59	123	1928
60	125	1938
61	128	1941
62	131	1948
63	133	1952
64	135	1949
65	137	1946
66	140	1951
67	142	1952
68	144	1952
69	147	1953
70	149	1950
71	151	1952
72	153	1954
73	155	1950
74	157	1947
75	159	1944
76	161	1941
77	163	1937
78	165	1932
79	167	1928
80	169	1925
81	172	1927
82	174	1927
83	176	1926
84	178	1926
85	181	1926
86	183	1925
87	185	1926
88	188	1925
89	190	1925
90	192	1922
91	194	1921
92	196	1918
93	198	1914
94	200	1910
95	202	1907
96	204	1904
97	206	1901
98	208	1898
99	210	1896
100	212	1891
101	214	1889
102	216	1886
103	218	1882
104	220	1879
105	222	1877
106	224	1874
107	226	1873
108	228	1871
109	231	1871
110	233	1867
111	235	1864
112	237	1862
113	239	1860
114	241	1857
115	243	1856
116	246	1857
117	248	1855
118	250	1852
119	252	1850
120	254	1848
121	256	1844
122	258	1841
123	260	1839
124	262	1837
125	264	1833
126	266	1830
127	268	1829
128	270	1826
129	272	1824
130	274	1822
131	277	1822
132	279	1820
133	281	1818
134	283	1817
135	285	1815
136	287	1811
137	289	1805
138	291	1803
139	293	1800
140	295	1797
141	297	1795
142	299	1793
143	301	1792
144	303	1789
145	305	1788
146	308	1788
147	310	1786
148	312	1783
149	314	1780
150	316	1778
151	318	1779
152	321	1777
153	323	1774
154	325	1772
155	327	1770
156	329	1768
157	331	1765
158	333	1764
159	335	1762
160	337	1760
161	340	1759
162	342	1756
163	344	1753
164	346	1753
165	348	1751
166	350	1749
167	353	1749
168	355	1746
169	357	1745
170	359	1743
171	361	1739
172	363	1737
173	365	1735
174	367	1732
175	369	1729
176	371	1728
177	374	1727
178	376	1725
179	378	1722
180	380	1720
181	382	1719
182	384	1716
183	386	1714
184	388	1711
185	390	1709
186	392	1706
187	394	1704
188	396	1701
189	398	1698
190	400	1696
191	402	1693
192	404	1691
193	406	1688
194	408	1686
195	410	1684
196	412	1682
197	414	1679
198	416	1676
199	418	1674
200	420	1671
201	422	1668
202	424	1667
203	426	1664
204	428	1662
205	431	1661
206	433	1660
207	435	1657
208	437	1657
209	440	1655
